task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
304	86/b4a3f3	53173358	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_H460_50SPD_D24)	COMPLETED	0	2026-06-21 18:34:00.002	22m 26s	21m 17s	1096.0%	16.5 GB	17.4 GB	6 GB	14.2 MB
265	27/2ca1bc	53173305	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_N21)	COMPLETED	0	2026-06-21 18:33:56.216	23m	21m 53s	1089.6%	15.9 GB	16.9 GB	4.7 GB	8.2 MB
307	1c/3396b2	53173364	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_H460_50SPD_E3)	COMPLETED	0	2026-06-21 18:34:00.302	28m 11s	27m 4s	1106.8%	16.7 GB	17.6 GB	6.9 GB	14.6 MB
300	66/76fe15	53173350	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_H460_50SPD_F22)	COMPLETED	0	2026-06-21 18:33:59.602	29m 31s	28m 24s	1115.0%	16.6 GB	17.4 GB	5.7 GB	9.9 MB
308	6d/0d0079	53186030	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:ASSEMBLE_EMPIRICAL_LIBRARY (PXD049412.sdrf)	COMPLETED	0	2026-06-21 19:03:31.165	2m	56.7s	174.7%	9.8 GB	10.9 GB	4.2 GB	1.4 GB
310	91/7dcc29	53186974	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:INDIVIDUAL_ANALYSIS (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_B23)	COMPLETED	0	2026-06-21 19:05:31.225	1m 10s	5.3s	473.1%	432.3 MB	1.6 GB	680 MB	7.5 MB
311	0d/c96600	53186976	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:INDIVIDUAL_ANALYSIS (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_A24)	COMPLETED	0	2026-06-21 19:05:31.312	1m 10s	3.8s	520.2%	410.4 MB	1.6 GB	668.9 MB	7.3 MB
312	7c/85f5b1	53186979	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:INDIVIDUAL_ANALYSIS (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_B24)	COMPLETED	0	2026-06-21 19:05:31.480	1m 10s	3.9s	481.2%	372.9 MB	1.6 GB	668.3 MB	7.7 MB
309	ae/0cfeb7	53186977	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:INDIVIDUAL_ANALYSIS (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_A23)	COMPLETED	0	2026-06-21 19:05:31.383	1m 10s	5s	460.3%	504 MB	1.6 GB	682.9 MB	9 MB
314	8a/6620da	53186981	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:INDIVIDUAL_ANALYSIS (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_D24)	COMPLETED	0	2026-06-21 19:05:31.549	1m 10s	3.5s	588.7%	373.7 MB	1.6 GB	663.7 MB	4.5 MB
